,Restaurant Name,Zip Code,Inspection Date,Score,Address,Facility ID,Google Rating,Yelp Rating
13560,Jason's Deli,78748,2024-10-28,96,"9600 S IH
AUSTIN, TX 78748",10017881,4.4,3.7
15139,MN - Dollar General #6946,78653,2024-10-08,93,"12750 LAPOYNOR ST
MANOR, TX 78653
(30.33562, -97.55975)",2804037,3.9,1.5
8695,Headliners,78701,2024-01-23,86,"221 W 6TH ST
AUSTIN, TX 78701
(30.26857, -97.74467)",2800399,4.7,4.7
787,Kung Fu Tea,78757,2024-10-10,78,"9070 RESEARCH BLVD
AUSTIN, TX 78757
(30.37273, -97.72764)",12398512,4.4,4.3
6023,LW - Santa Catarina,78734,2024-01-24,81,"1310 S FM 620 RD
LAKEWAY, TX 78734
(30.34988, -97.96488)",11175645,4.5,4.4
2485,Civil Goat Coffee,78722,2024-10-17,81,"2610 MANOR RD
AUSTIN, TX 78722
(30.28506, -97.71441)",12397984,4.3,4.3
22232,Escarpment Exxon,78749,2024-12-02,95,"6109 W WILLIAM CANNON DR
AUSTIN, TX 78749
(30.22932, -97.8645)",2803688,3.1,2.1
11868,Starbucks Coffee #6284,78705,2024-08-12,94,"504 W 24TH ST
AUSTIN, TX 78705
(30.28779, -97.74261)",2801411,4.1,3.8
19169,Houndstooth Coffee,78702,2024-11-22,91,"2823 E MARTIN LUTHER KING JR BLVD
AUSTIN, TX 78702
(30.28115, -97.71032)",11833996,4.3,3.6
6845,Nova Kitchen LLC,78701,2024-05-09,83,"440 W 2ND ST
AUSTIN, TX 78701
(30.26547, -97.74838)",12393636,4.4,4.3
19424,"Zone, The",78748,2024-04-19,98,"10616 MANCHACA RD
AUSTIN, TX 78748
(30.16504, -97.82993)",12397965,4.8,5
9170,Burger King #11575,78748,2024-02-08,97,"1905 W SLAUGHTER LN
AUSTIN, TX 78748
(30.17325, -97.82258)",12186461,3.3,1.7
6510,Flat Track Coffee,78702,2024-07-05,92,"1619 E CESAR CHAVEZ ST
AUSTIN, TX 78702
(30.25777, -97.72705)",11594617,4.7,4.5
964,Foodheads,78705,2024-08-26,96,"616 W 34TH ST
AUSTIN, TX 78705
(30.30069, -97.74043)",2801812,4.7,4.3
18097,SV - Cruzteca Mexican Kitchen,78745,2024-03-26,84,"5207 BRODIE LN
SUNSET VALLEY, TX 78745
(30.23002, -97.81698)",11836354,4.5,4.3
14785,McDonalds  (Wal-Mart),78753,2024-01-05,93,"13000 N IH
AUSTIN, TX 78753",2802240,3.5,2.2
15177,Master Donut,78741,2024-06-04,92,"6100 E RIVERSIDE DR
AUSTIN, TX 78741
(30.22646, -97.70584)",12397690,4.5,4.5
2952,New One Taco,78753,2024-02-06,86,"500 W CANYON RIDGE DR
AUSTIN, TX 78753
(30.406841, -97.672884)",12393569,4.4,4.2
8976,"Brewtorium Brewery & Kitchen, The",78752,2024-05-15,82,"6015 DILLARD CIR
AUSTIN, TX 78752
(30.32566, -97.71686)",11835018,4.6,4.2
21689,Hopdoddy Burger Bar,78702,2024-01-12,87,"1011 E 5TH ST
AUSTIN, TX 78702
(30.26388, -97.73198)",12393434,4.4,4
910,Uncle Tetsu #31015,78752,2024-02-21,99,"6929 AIRPORT BLVD
AUSTIN, TX 78752
(30.33751, -97.71765)",12399087,4.6,4.4
9045,Hi Wings,78757,2024-03-28,94,"2525 W ANDERSON LN
AUSTIN, TX 78757
(30.35566, -97.73392)",11834180,4.6,4.6
18305,Grove Market,78731,2024-05-17,88,"2601 PERSEVERANCE DR
AUSTIN, TX 78731
(30.31809, -97.75208)",12397279,4.4,4
20961,Dominos Pizza,78753,2024-04-19,98,"9616 N LAMAR BLVD
AUSTIN, TX 78753
(30.36731, -97.69624)",10061666,3.5,2.3
20122,Kentucky Fried Chicken,78723,2024-11-14,89,"7206 ED BLUESTEIN BLVD
AUSTIN, TX 78723
(30.31423, -97.66355)",11789720,2.9,1.9
12787,Hilltop Bar & Grill,78669,2024-09-10,88,"22308 W SH
SPICEWOOD, TX 78669",2801301,4.6,3.8
12777,WL - P. Terry's Burger Stand,78746,2024-03-29,100,"701 S CAPITAL OF TEXAS HWY NB UNIT H WEST LAKE HILLS
TX 78746
(30.29182, -97.82749)",10771894,4.2,3.2
20430,"Grey Market, The",78701,2024-04-09,89,"501 BRAZOS ST
AUSTIN, TX 78701
(30.26705, -97.74172)",12395901,4.3,4.1
19171,Stop n Save #3,78741,2024-01-31,86,"1800 BURTON DR
AUSTIN, TX 78741
(30.23589, -97.72886)",10557355,4.2,2
