Restaurant Name,Zip Code,Inspection Date,Score,Address,Facility ID,Process Description
Austin Golf Club,78669,12/16/2022,94,"24900 W SH
SPICEWOOD, TX 78669",2801719,Routine Inspection
TSO Chinese Delivery,78722,08/25/2023,97,"3909 N IH
AUSTIN, TX 78722",11757980,Routine Inspection
"Local Leaf, LLC",78722,07/18/2022,93,"3505 N IH
AUSTIN, TX 78722",11695670,Routine Inspection
Express Food Mart #5,,07/20/2022,80,,10771946,Routine Inspection
Subway,78723,08/02/2023,93,"5419 N IH
AUSTIN, TX 78723",11979569,Routine Inspection
Starbuck's Coffee #10618,78748,10/24/2023,97,"9300 S IH
AUSTIN, TX 78748",2803137,Routine Inspection
IHOP,78728,05/17/2022,90,"14310 N IH
SVRD SB AUSTIN, TX 78728",2802910,Routine Inspection
"Pluckers-Oak Hill, LLC",78736,01/08/2024,93,"7101 W SH
AUSTIN, TX 78736",11842136,Routine Inspection
Wendy's W123,78702,10/31/2024,95,"619 N IH
AUSTIN, TX 78702",11119164,Routine Inspection
Mariana's Kitchen,78745,06/22/2023,78,"5510 S IH
AUSTIN, TX 78745",11514048,Routine Inspection
Smoothie King,78753,04/24/2023,93,"12314 N IH
AUSTIN, TX 78753",12185779,Routine Inspection
AMC Tech Ridge 10,78753,07/12/2023,87,"12625 N IH
AUSTIN, TX 78753",12186410,Routine Inspection
OOB - Eurest-VISA,78727,04/04/2022,99,"12401 RESEARCH BLVD
AUSTIN, TX 78727",12186534,Routine Inspection
Beer Geek,78652,08/01/2024,90,"2051 W FM 1626 RD
AUSTIN, TX 78652",12392375,Routine Inspection
Wines And Whatnots,78724,07/26/2022,100,"14509 FM
AUSTIN, TX 78724",12394493,Routine Inspection
Wanderlust Wine Company LLC,78701,05/26/2022,82,"610 N IH
AUSTIN, TX 78701",12394525,Routine Inspection
BC - McDonalds,78738,05/17/2024,96,"12514 W SH
BEE CAVE, TX 78738",12396738,Routine Inspection
Doubletree by Hilton Austin,78752,07/18/2022,92,"6505 N IH
AUSTIN, TX 78752",12397024,Routine Inspection
OOB - DosiROK,78751,03/29/2024,99,"5610 N IH
AUSTIN, TX 78751",12399398,Routine Inspection
Couch Potato Austin LLC,78756,02/17/2023,100,"900 OLD KOENIG LN
AUSTIN, TX 78756
(30.32838, -97.72597)",10715516,Routine Inspection
Wingstop #188,78753,06/29/2022,100,"9616 N LAMAR BLVD
AUSTIN, TX 78753
(30.36731, -97.69624)",2802892,Routine Inspection
LW - Serene Hills Elementary,78738,10/25/2024,100,"3301 SERENE HILLS DR
LAKEWAY, TX 78738
(30.34848, -97.99699)",10008120,Routine Inspection
Mesa Mart,78759,03/31/2022,94,"8143 MESA DR
AUSTIN, TX 78759
(30.37405, -97.75507)",2804064,Routine Inspection
Flower Child,78758,03/30/2022,97,"11721 ROCK ROSE AVE
AUSTIN, TX 78758
(30.40374, -97.72178)",11606231,Routine Inspection
OOB - Tiny Pies,78704,07/29/2022,91,"1100 S LAMAR BLVD
AUSTIN, TX 78704
(30.25546, -97.76202)",12395451,Routine Inspection
Fried,78744,08/23/2024,95,"3400 COMSOUTH DR
AUSTIN, TX 78744
(30.212, -97.71976)",12399624,Routine Inspection
Milk + Tea,78727,07/18/2023,94,"1700 W PARMER LN
AUSTIN, TX 78727
(30.41327, -97.68966)",12186435,Routine Inspection
Levy at Q2 Stadium/Upper Concourse Hawkings,78758,06/24/2022,100,"10414 MC KALLA PL
AUSTIN, TX 78758
(30.38667, -97.71812)",12394498,Routine Inspection
PF - Typhoon Texas Waterpark - Fry Shack,78660,06/02/2022,93,"18500 N SH
PFLUGERVILLE, TX 78660
(30.459688, -97.595109)",12393017,Routine Inspection
Chipotle Mexican Grill #3328,78702,07/03/2023,100,"1109 E 5TH ST
AUSTIN, TX 78702
(30.2637, -97.73143)",12186362,Routine Inspection
In-N-Out Burger,78751,01/20/2022,96,"4515 AIRPORT BLVD
AUSTIN, TX 78751
(30.30437, -97.71544)",11050957,Routine Inspection
Cedar Door,78701,01/26/2022,71,"201 BRAZOS ST
AUSTIN, TX 78701
(30.26416, -97.74279)",2802060,Routine Inspection
Jacoby's Restaurant & Mercantile,78702,12/15/2022,86,"3235 E CESAR CHAVEZ ST
AUSTIN, TX 78702
(30.25175, -97.70739)",11188560,Routine Inspection
SV - Luv Thai Cuisine,78745,11/19/2024,86,"5207 BRODIE LN
SUNSET VALLEY, TX 78745
(30.23002, -97.81698)",12186165,Routine Inspection
Intelligentsia Coffee,78701,09/13/2022,94,"607 W 3RD ST
AUSTIN, TX 78701
(30.26697, -97.74992)",12185849,Routine Inspection
P F Chang's China Bistro,78701,03/29/2023,77,"201 SAN JACINTO BLVD
AUSTIN, TX 78701
(30.26399, -97.74165)",2801751,Routine Inspection
Filipino Asian Mart,78748,08/29/2022,95,"615 W SLAUGHTER LN
AUSTIN, TX 78748
(30.17218, -97.80102)",11418638,Routine Inspection
Sweet Briar CDC LLC,78745,01/26/2023,91,"205 SANDRA ST
AUSTIN, TX 78745
(30.20464, -97.77672)",11927026,Routine Inspection
Wink,78703,07/12/2022,89,"1014 N LAMAR BLVD
AUSTIN, TX 78703
(30.27559, -97.75217)",2801627,Routine Inspection
Trifecta on 3rd,78701,08/10/2022,96,"360 NUECES ST
AUSTIN, TX 78701
(30.26695, -97.74944)",12393969,Routine Inspection
Gilbert Xpress,78724,09/30/2022,92,"13107 FM
AUSTIN, TX 78724",12394888,Routine Inspection
Pho Dan,78753,07/15/2024,85,"11220 N LAMAR BLVD
AUSTIN, TX 78753
(30.38095, -97.6872)",10044643,Routine Inspection
Meals On Wheels and More,78702,08/05/2022,94,"3227 E 5TH ST
AUSTIN, TX 78702
(30.25443, -97.70604)",2801634,Routine Inspection
Zen Food Mart,78704,01/12/2023,94,"3010 S LAMAR BLVD
AUSTIN, TX 78704
(30.24291, -97.7837)",10589560,Routine Inspection
Whataburger,78729,01/18/2024,96,"6301 W PARMER LN
AUSTIN, TX 78729
(30.44483, -97.74361)",2803042,Routine Inspection
Fajita Pete's,78731,02/01/2024,99,"5523 BALCONES DR
AUSTIN, TX 78731
(30.33674, -97.75734)",12396250,Routine Inspection
"PF - Goddard School, The",78660,03/02/2023,93,"1040 E WELLS BRANCH PKWY
PFLUGERVILLE, TX 78660
(30.42935, -97.63478)",12392731,Routine Inspection
Almost Grown,78620,12/16/2022,97,"18901 HAMILTON POOL RD
DRIPPING SPRINGS, TX 78620
(30.2865, -98.06555)",11826728,Routine Inspection
Amy's Ice Cream,78748,12/02/2024,94,"9600 S IH
AUSTIN, TX 78748",10014585,Routine Inspection
Pizza Hut,78753,11/15/2023,97,"1015 E BRAKER LN
AUSTIN, TX 78753
(30.37472, -97.67178)",10034421,Routine Inspection
Pok-E-Jo's,78758,02/21/2024,88,"2121 W PARMER LN
AUSTIN, TX 78758
(30.41521, -97.6968)",2801171,Routine Inspection
La Catedral Del Marisco #3,78745,03/13/2023,90,"4118 S IH
AUSTIN, TX 78745",11242428,Routine Inspection
Whole Foods Market - Meat Market,78749,03/28/2022,100,"4301 W WILLIAM CANNON DR
AUSTIN, TX 78749
(30.21926, -97.84213)",10764422,Routine Inspection
Jet's Pizza,78704,06/21/2023,95,"3003 S LAMAR BLVD
AUSTIN, TX 78704
(30.24213, -97.78309)",12394782,Routine Inspection
Ronnies Real Food,78733,11/29/2023,99,"205 S COMMONS FORD RD
AUSTIN, TX 78733
(30.33334, -97.88552)",2801868,Routine Inspection
Joslin Elementary School,78745,09/12/2023,100,"4500 MANCHACA RD
AUSTIN, TX 78745
(30.22756, -97.79022)",2800329,Routine Inspection
EPIC POKE,78723,11/12/2024,84,"6448 E US
AUSTIN, TX 78723
(30.323455, -97.695526)",12185773,Routine Inspection
Slab BBQ & Beer,78745,03/07/2023,94,"2701 W WILLIAM CANNON DR
AUSTIN, TX 78745
(30.20686, -97.81649)",12396264,Routine Inspection
Big Lots # 1749,78757,08/23/2023,89,"8740 RESEARCH BLVD
SB AUSTIN, TX 78757
(30.3647, -97.71919)",11096134,Routine Inspection
OOB - Sodexo- Concordia University,78726,01/13/2022,100,"11400 CONCORDIA UNIVERSITY DR
AUSTIN, TX 78726
(30.4202, -97.84012)",10188779,Routine Inspection
Yellow Jacket Social Club,78702,11/05/2024,85,"1704 E 5TH ST
AUSTIN, TX 78702
(30.26137, -97.72465)",10428064,Routine Inspection
ABIA Food and Fuel,78719,06/30/2023,77,"2901 SPIRIT OF TEXAS DR
AUSTIN, TX 78719
(30.21081, -97.66761)",11961522,Routine Inspection
LW - Flores Mexican Restaurant,78734,10/31/2024,90,"2127 LOHMANS CROSSING RD
LAKEWAY, TX 78734
(30.34262, -97.96989)",10378211,Routine Inspection
Northwest Elementary,78728,05/06/2024,91,"14014 THERMAL DR
AUSTIN, TX 78728
(30.43134, -97.67598)",2800676,Routine Inspection
PF - Lone Star Bar,78660,02/22/2022,92,"403 FM
PFLUGERVILLE, TX 78660
(30.43961, -97.61195)",12186614,Routine Inspection
Costco #681 Retail,78759,10/13/2022,96,"10401 RESEARCH BLVD
AUSTIN, TX 78759
(30.39697, -97.74514)",2803772,Routine Inspection
New One Taco,78750,03/07/2023,82,"12233 N FM 620 RD
AUSTIN, TX 78750
(30.46183, -97.8146)",12394111,Routine Inspection
Austin Baptist Chapel,78702,04/11/2023,95,"908 E CESAR CHAVEZ ST
AUSTIN, TX 78702
(30.26069, -97.7349)",2800389,Routine Inspection
Casey Elementary,78748,02/16/2022,100,"9400 TEXAS OAKS DR
AUSTIN, TX 78748
(30.17494, -97.81441)",2801070,Routine Inspection
7-Eleven Convenience Store #36609,78759,03/04/2023,92,"10800 RESEARCH BLVD
AUSTIN, TX 78759
(30.40022, -97.74684)",11017107,Routine Inspection
Cantina 512,78701,01/19/2024,91,"70 RAINEY ST
AUSTIN, TX 78701
(30.25865, -97.73951)",12396372,Routine Inspection
Cipollina,78703,03/01/2022,74,"1213 WEST LYNN ST
AUSTIN, TX 78703
(30.28081, -97.75852)",2801292,Routine Inspection
La Cocina Buena,78753,04/26/2022,100,"9616 N LAMAR BLVD
AUSTIN, TX 78753
(30.36731, -97.69624)",12185806,Routine Inspection
McDonald's,78727,04/12/2023,92,"13813 BURNET RD
AUSTIN, TX 78727
(30.4391, -97.69766)",2802299,Routine Inspection
